"Act","Obj","VU","n","Typ","Size","Wgt","Wall","Fabric","Color","Decor","Morph","Drawing","Note"
41,NA,NA,NA,"RS",30,3.6,8,"slag","beige/brouwn/black",NA,"konkaver Rand, gerade Mdg",NA,NA
41,NA,NA,3,NA,70,27.5,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,12,NA,30,38.9,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,70,6.3,9,"fine/red","red/beige","horiz Rille",NA,NA,NA
42,NA,NA,NA,NA,70,5.2,7,"slag","brown/beige/grey",NA,NA,NA,NA
42,"2",NA,NA,NA,70,23.9,8,"slag","beige/brown/grey","zwei Rillen & feine horiz, enge Rillen",NA,"x",NA
42,"4",NA,NA,NA,70,14.1,7,"slag","beige/brown/grey","feine horiz & bogenförm Kammstrich",NA,"x",NA
42,"3",NA,NA,"RS",70,9.6,6,"slag","brown/beige","horiz Rille","leichter Kegelhals, kurzer ausbiegender Rand, gerade Mdg","x",NA
42,NA,NA,NA,NA,70,16.5,6,"slag","brown/red",NA,NA,NA,"fine/red"
42,NA,NA,NA,NA,70,6.8,6,"fine/red","red/yellow","breite Rille","konexe Wdg",NA,NA
42,NA,NA,NA,NA,30,6.5,9,"coarse/red","red/black",NA,NA,NA,NA
42,NA,NA,NA,NA,70,5.6,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,8,NA,30,17.1,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,2,"RS",70,21.4,6,"slag","beige/grey","Rille","ausbiegender Rand, gerade Mdg",NA,"42:1; 43:2"
43,NA,NA,NA,NA,70,28.7,8,"coarse/red","brown/black",NA,"konvexer Schulterbereich",NA,NA
43,NA,NA,NA,NA,70,13.6,9,"coarse/red","brown/red&grey",NA,NA,NA,NA
43,NA,NA,NA,NA,70,11.4,8,"coarse/red","red/grey",NA,NA,NA,NA
43,NA,NA,NA,NA,30,1.8,5,"fine","grey/black",NA,"ausbiegender Rand; gerade Mdg",NA,NA
43,NA,NA,22,NA,30,28.7,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,70,6.2,8,"slag","beige/grey","Rille",NA,NA,NA
44,NA,NA,NA,NA,30,1.6,6,"slag","beige/grey",NA,NA,NA,NA
44,NA,NA,NA,NA,30,0.7,6,"slag","beige","Rille",NA,NA,NA
44,"1",NA,NA,NA,70,5,6,"slag","red/brown","feiner Kammstrich, überkreuzt",NA,"x","EIA?; fine/red"
44,NA,NA,NA,NA,30,1.5,8,"fine/red","red/brown/grey",NA,"konkaver Halsbereich?",NA,NA
44,NA,NA,6,NA,30,8.3,NA,NA,NA,NA,NA,NA,NA
45,"2",NA,NA,NA,70,8.1,6,"slag","brown/beige","winkelige Rillen",NA,NA,NA
45,"1",NA,2,"RS",70,22.5,8,"slag","beige/brown",NA,"ausbiegender Rand, gerade Mdg",NA,NA
45,NA,NA,3,NA,70,25.5,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,11,NA,30,20.8,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,30,2.4,5.5,"fine/white","beige/black",NA,NA,NA,NA
46,NA,NA,NA,NA,30,4.2,6,"coarse/white","beige/grey",NA,NA,NA,NA
48,NA,NA,4,NA,10,0.7,NA,NA,NA,NA,NA,NA,NA
50,"1",NA,NA,NA,30,1.9,7,"fine/white","white/grey",NA,NA,NA,NA
50,"2",NA,NA,NA,30,1.7,6,"slag","beige/grey",NA,NA,NA,NA
50,NA,NA,4,NA,10,1.1,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,30,0.1,3.5,"fine/white","white/grey",NA,NA,NA,NA
53,NA,NA,NA,NA,30,3.6,8,"slag","brown/grey",NA,NA,NA,NA
53,NA,NA,2,NA,30,0.7,NA,"fine/white","white/grey",NA,NA,NA,NA
53,NA,NA,2,NA,30,1.1,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,3,NA,10,0.4,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,30,1,7,"slag","beige/brown",NA,NA,NA,NA
