"ID.Museum.Ind","X.depth.","depth","length"
"62389-161","","","2-4"
"62389-162","","","2-4"
"62389-163","","","2-4"
"62389-164","","","2-4"
"62389-165","","","2-4"
"62389-166","","","2-4"
"62389-167","","","2-4"
"62389-168","","","2-4"
"62389-169","","","2-4"
"62389-170","","","2-4"
"62389-171","","","2-4"
"62389-172","","","2-4"
"62389-173","","","2-4"
"62389-174","","","2-4"
"62389-175","","","2-4"
"62389-176","","","2-4"
"62389-177","","","2-4"
"62389-178","","","2-4"
"62389-179","","","2-4"
"62389-180","","","2-4"
"62389-181","","","2-4"
"62389-182","","","2-4"
"62389-183","","","2-4"
"62389-184","","","2-4"
"62389-185","","","2-4"
"62389-186","","","2-4"
"62389-187","","","2-4"
"62389-188","","","2-4"
"62389-189","","","2-4"
"62389-190","","","2-4"
"62389-191","","","2-4"
"62389-192","","","2-4"
"62389-193","","","2-4"
"62389-194","","","2-4"
"62389-195","","","2-4"
"62389-196","","","2-4"
"62389-197","","","2-4"
"62389-198","","","2-4"
"62389-199","","","2-4"
"62389-200","","","2-4"
"62389-201","","","2-4"
"62389-202","","","2-4"
"62389-203","","","2-4"
"62389-204","","","2-4"
"62389-205","","","2-4"
"62389-206","","","2-4"
"62389-207","","","2-4"
"62389-208","","","2-4"
"62389-209","","","2-4"
"62389-210","","","2-4"
"62389-211","","","2-4"
"62389-212","","","2-4"
"62389-213","","","2-4"
"62389-214","","","2-4"
"62389-215","","","2-4"
"62389-216","","","2-4"
"62389-217","","","2-4"
"62389-218","","","2-4"
"62389-219","","","2-4"
"62389-220","","","2-4"
"62389-221","","","2-4"
"62389-222","","","2-4"
"62389-223","","","2-4"
"62389-224","","","2-4"
"62389-225","","","2-4"
"62389-226","","","2-4"
"62389-227","","","2-4"
"62389-228","","","2-4"
"62389-229","","","2-4"
"62389-230","","","2-4"
"62389-231","","","2-4"
"62389-232","","","2-4"
"62389-233","","","2-4"
"62389-234","","","2-4"
"62389-235","","","2-4"
"62389-236","","","2-4"
"62389-237","","","2-4"
"62389-238","","","2-4"
"62389-239","","","2-4"
"62389-240","","","2-4"
"62389-241","","","2-4"
"62389-242","","","2-4"
"62389-243","","","2-4"
"62389-244","","","2-4"
"62389-245","","","2-4"
"62389-246","","","2-4"
"62389-247","","","2-4"
"62389-248","","","2-4"
"62389-249","","","2-4"
"62389-250","","","2-4"
"62389-251","","","2-4"
"62389-252","","","2-4"
"62389-253","","","2-4"
"62389-254","","","2-4"
"62389-255","","","2-4"
