"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",97,"1a",180,112500,1.3,146250,"1.8","0",0,0,14.8,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"14.8",NA
"MUK 2018/1030/10",98,"1b",180,112500,1.3,146250,"0.3","0",0,0,8.5,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"8.5",NA
"MUK 2018/1030/10",99,"1c",180,112500,1.3,146250,"0.9","0",0,0,102.3,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,2,"102.3",NA
"MUK 2018/1030/10",100,"1d",180,112500,1.3,146250,"149.6","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",101,"1d",175,112500,1.3,146250,"14.8","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Holzkohlekonzentration"
"MUK 2018/1030/10",102,"2a",180,112500,1.3,146250,"0.7","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,3,"0.100000000000001",NA
"MUK 2018/1030/10",103,"2b",180,112500,1.3,146250,"1.3","0.1",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",104,"2c",180,112500,1.3,146250,"0.1","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",105,"2d",180,112500,1.3,146250,"17.6","0",0,0,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,"0","Verfärbung in Doku DS; Kortex Rest verworfen"
"MUK 2018/1030/10",106,"1a",200,112500,1.3,146250,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,"1",NA,NA,NA,2,"0",NA
"MUK 2018/1030/10",107,"1b",200,112500,1.3,146250,"0.2","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",108,"1c",200,112500,1.3,146250,"1.2","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,2,"0",NA
"MUK 2018/1030/10",109,"1d",200,112500,1.3,146250,"3.6","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,"Im oberen Teil Anschluss an 101 HK-Konzentration"
"MUK 2018/1030/10",110,"2a",200,112500,1.3,146250,"4.9","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,"0","Kortex"
